location;name;category;companyUrl;description;followerCount
São Paulo, Sp;Sindico Para Condominios;Companies;https://www.linkedin.com/company/sindico-para-condominios/;Serviços de eletricidade, gás, água e esgoto • São Paulo, Sp;0
Juiz de Fora;SINDICO JF;Companies;https://www.linkedin.com/company/sindico-jf/;Publicação de livros e periódicos • Juiz de Fora;0
Barueri;WR Gestão de Condomínios - Síndico Profissional;Companies;https://www.linkedin.com/company/wr-gest%C3%A3o-de-condom%C3%ADnios---s%C3%ADndico-profissional/;Consultoria e serviços empresariais • Barueri;6
Joinville, Sc;Lavor Síndico Profissional;Companies;https://www.linkedin.com/company/lavor-s%C3%ADndico-profissional/;Serviços de eletricidade, gás, água e esgoto • Joinville, Sc;2
Porto Alegre;LP Síndico Profissional;Companies;https://www.linkedin.com/company/lp-s%C3%ADndico-profissional/;Setor imobiliário • Porto Alegre;5
Joinville;Leo Ozório Síndico Profissional;Companies;https://www.linkedin.com/company/leo-oz%C3%B3rio-s%C3%ADndico-profissional/;Setor imobiliário • Joinville;4
;CECW Síndico - Síndico Profissional;Companies;https://www.linkedin.com/company/cecw-s%C3%ADndico---s%C3%ADndico-profissional/;Porto Alegre;4
Indaial;RV Síndico;Companies;https://www.linkedin.com/company/rv-s%C3%ADndico/;Consultoria e serviços empresariais • Indaial;4
Joinville;RONCELLI SÍNDICO PROFISSIONAL;Companies;https://www.linkedin.com/company/roncelli-s%C3%ADndico-profissional/;Administração de serviços • Joinville;4
São Paulo;MCR Sindico Profissional;Companies;https://www.linkedin.com/company/mcr-sindico-profissional/;Setor imobiliário • São Paulo;4
São Leopoldo;Planejar Síndico Externo;Companies;https://www.linkedin.com/company/planejar-s%C3%ADndico-externo/;Setor imobiliário • São Leopoldo;4
Praia Grande;Litoral Sindico & Associados;Companies;https://www.linkedin.com/company/litoral-sindico-&-associados/;Organizações cívicas e sociais • Praia Grande;4
São Paulo;Revista Sindico News Prime;Companies;https://www.linkedin.com/company/revista-sindico-news-prime/;Publicação de livros e periódicos • São Paulo;4
São Gonçalo;Sandro Moraes - Síndico Profissional;Companies;https://www.linkedin.com/company/sandro-moraes---s%C3%ADndico-profissional/;Setor imobiliário • São Gonçalo;4
;Giovanni Gallo | Síndico Profissional;Companies;https://www.linkedin.com/company/giovanni-gallo-s%C3%ADndico-profissional/;Setor imobiliário;2
;CECW Sindico;Companies;https://www.linkedin.com/company/cecw-sindico/;Administração de serviços;3
